experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate,replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,big_core_num,small_core_num,matsize
0,0.01427,9151956,0.0509368571428571,0.3185596249999999,0.930788625,0.0218235,0.308281625,0.8705782499999999,0.8130315,LRURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,2,2,64
1,0.002515,8677027,0.0485785714285714,0.3219451249999999,0.914472625,0.0196913333333333,0.309968875,0.8785797500000001,0.0530862499999999,LRURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,2,2,64
2,0.002249,8787031,0.0453434285714285,0.3188716249999999,0.935216875,0.0188255,0.30628875,0.86924725,0.0011545,LRURP,Tagged,1,1,4,10,40,50,50,2,30,40,40,2,2,64
3,0.005885,9067640,0.0482388571428571,0.339850375,0.330879375,0.027098,0.3143181249999999,0.8543702500000001,0.3592305,LRURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,2,2,64
4,0.002573,8649169,0.0531417142857142,0.344697625,0.3865902499999999,0.0203276666666666,0.3071157499999999,0.866162375,0.0528905,LRURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,2,2,64
5,0.002329,8596993,0.0511081428571428,0.338895875,0.371755125,0.0218758,0.305999875,0.8554957499999999,0.0018375,LRURP,Tagged,1,2,4,10,40,50,50,2,30,40,40,2,2,64
6,0.001882,8318604,0.0560907142857142,0.3675008749999999,0.0010583749999999,0.0273761666666666,0.330968,0.342408375,0.0257685,LRURP,Tagged,1,4,1,10,40,50,50,2,30,40,40,2,2,64
7,0.001785,8315731,0.0586212857142857,0.3667082499999999,0.001107875,0.0234958,0.33076625,0.347148625,0.00589825,LRURP,Tagged,1,4,2,10,40,50,50,2,30,40,40,2,2,64
8,0.001778,8231729,0.0614728571428571,0.356196625,0.00132625,0.0189394999999999,0.332018,0.346671,0.00485,LRURP,Tagged,1,4,4,10,40,50,50,2,30,40,40,2,2,64
9,0.015487,9260436,0.045293,0.3242926249999999,0.927594125,0.0164984,0.291943625,0.961060375,0.7714822499999999,LRURP,Tagged,2,1,1,10,40,50,50,2,30,40,40,2,2,64
10,0.002961,8880980,0.0390437142857142,0.32822025,0.921879625,0.0155965999999999,0.28891325,0.966260875,0.07415225,LRURP,Tagged,2,1,2,10,40,50,50,2,30,40,40,2,2,64
11,0.002657,8930866,0.0407927142857142,0.3168897499999999,0.8695416250000001,0.0147936,0.291161375,0.964725875,0.001361,LRURP,Tagged,2,1,4,10,40,50,50,2,30,40,40,2,2,64
12,0.007633,9158604,0.0397877142857142,0.319600375,0.3508068749999999,0.0168848,0.291625625,0.9512,0.3658592499999999,LRURP,Tagged,2,2,1,10,40,50,50,2,30,40,40,2,2,64
13,0.002565,8859638,0.0416528571428571,0.322819875,0.3658625,0.013077,0.286789375,0.953315125,0.06742475,LRURP,Tagged,2,2,2,10,40,50,50,2,30,40,40,2,2,64
14,0.002516,8834554,0.0437467142857142,0.3105263749999999,0.30656175,0.0129203333333333,0.288759375,0.952186,0.002036,LRURP,Tagged,2,2,4,10,40,50,50,2,30,40,40,2,2,64
15,0.001857,8628522,0.0472728571428571,0.3391468749999999,0.00122325,0.0178404,0.29790525,0.321797125,0.0588665,LRURP,Tagged,2,4,1,10,40,50,50,2,30,40,40,2,2,64
16,0.001592,8533274,0.0419525714285714,0.3357439999999999,0.0012365,0.0170656,0.29838325,0.326875625,0.00873625,LRURP,Tagged,2,4,2,10,40,50,50,2,30,40,40,2,2,64
17,0.001593,8329520,0.0509784285714285,0.32901225,0.00202475,0.0139908333333333,0.29904175,0.3247799999999999,0.0086905,LRURP,Tagged,2,4,4,10,40,50,50,2,30,40,40,2,2,64
18,0.015287,9245298,0.0348337142857142,0.321811125,0.6953026250000001,0.0110634999999999,0.295797375,0.974717125,0.61194125,LRURP,Tagged,4,1,1,10,40,50,50,2,30,40,40,2,2,64
19,0.003934,8857059,0.0385241428571428,0.331128875,0.7026330000000002,0.0101441666666666,0.297150625,0.975382875,0.056351,LRURP,Tagged,4,1,2,10,40,50,50,2,30,40,40,2,2,64
20,0.003511,8888294,0.0369915714285714,0.320780625,0.674305625,0.0118286,0.296774375,0.976766625,0.00135075,LRURP,Tagged,4,1,4,10,40,50,50,2,30,40,40,2,2,64
21,0.008713,9138421,0.0347705714285714,0.297500875,0.221873125,0.015931,0.2963229999999999,0.933513375,0.39218225,LRURP,Tagged,4,2,1,10,40,50,50,2,30,40,40,2,2,64
22,0.00318,8925214,0.0382714285714285,0.3225881249999999,0.248372125,0.0108343333333333,0.296247875,0.937362875,0.04445725,LRURP,Tagged,4,2,2,10,40,50,50,2,30,40,40,2,2,64
23,0.003,8865187,0.0371712857142857,0.323439125,0.2112771249999999,0.0104275,0.29685275,0.938463375,0.00207575,LRURP,Tagged,4,2,4,10,40,50,50,2,30,40,40,2,2,64
24,0.002078,8794823,0.041381,0.4204957499999999,0.001449125,0.0120551666666666,0.304545375,0.3881105,0.04603675,LRURP,Tagged,4,4,1,10,40,50,50,2,30,40,40,2,2,64
25,0.001802,8772033,0.0362255714285714,0.4073164999999999,0.0015061249999999,0.0110123333333333,0.30413925,0.398476625,0.00586875,LRURP,Tagged,4,4,2,10,40,50,50,2,30,40,40,2,2,64
26,0.001844,8354733,0.0402087142857142,0.354927375,0.002800875,0.0135661666666666,0.301308625,0.402093375,0.00528775,LRURP,Tagged,4,4,4,10,40,50,50,2,30,40,40,2,2,64
27,0.002009,8716692,0.0576016249999999,0.2660416249999999,0.79576875,0.0252055,0.26452225,0.559722125,0.146005,LRURP,Stride,1,1,1,10,40,50,50,2,30,40,40,2,2,64
28,0.001569,8317500,0.0581317499999999,0.262731875,0.791471625,0.0227438333333333,0.266669375,0.5576519999999999,0.0574025,LRURP,Stride,1,1,2,10,40,50,50,2,30,40,40,2,2,64
29,0.001379,8264175,0.05639,0.301787625,0.944306125,0.0230501666666666,0.272152125,0.573486375,0.0034955,LRURP,Stride,1,1,4,10,40,50,50,2,30,40,40,2,2,64
30,0.001839,8710188,0.0562245714285714,0.2545989999999999,0.5755408750000001,0.0195165,0.264359375,0.324231375,0.17289675,LRURP,Stride,1,2,1,10,40,50,50,2,30,40,40,2,2,64
31,0.001527,8308127,0.0688507142857142,0.260366,0.5555284999999999,0.0238246666666666,0.26805725,0.3177775,0.07000025,LRURP,Stride,1,2,2,10,40,50,50,2,30,40,40,2,2,64
32,0.00134,8211499,0.064001,0.264555,0.58527775,0.0235905,0.27289675,0.333753,0.00424425,LRURP,Stride,1,2,4,10,40,50,50,2,30,40,40,2,2,64
33,0.001573,7413428,0.0765782857142857,0.2706231249999999,0.002712375,0.023116,0.268145625,0.299151375,0.0943595,LRURP,Stride,1,4,1,10,40,50,50,2,30,40,40,2,2,64
34,0.001324,7371778,0.0770131428571428,0.271695625,0.0027403749999999,0.017958,0.268733375,0.2953568750000001,0.02273575,LRURP,Stride,1,4,2,10,40,50,50,2,30,40,40,2,2,64
