replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,big_core_num,small_core_num,matsize,experiment_index
LRURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,2,2,64,0
LRURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,2,2,64,1
LRURP,Tagged,1,1,4,10,40,50,50,2,30,40,40,2,2,64,2
LRURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,2,2,64,3
LRURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,2,2,64,4
LRURP,Tagged,1,2,4,10,40,50,50,2,30,40,40,2,2,64,5
LRURP,Tagged,1,4,1,10,40,50,50,2,30,40,40,2,2,64,6
LRURP,Tagged,1,4,2,10,40,50,50,2,30,40,40,2,2,64,7
LRURP,Tagged,1,4,4,10,40,50,50,2,30,40,40,2,2,64,8
LRURP,Tagged,2,1,1,10,40,50,50,2,30,40,40,2,2,64,9
LRURP,Tagged,2,1,2,10,40,50,50,2,30,40,40,2,2,64,10
LRURP,Tagged,2,1,4,10,40,50,50,2,30,40,40,2,2,64,11
LRURP,Tagged,2,2,1,10,40,50,50,2,30,40,40,2,2,64,12
LRURP,Tagged,2,2,2,10,40,50,50,2,30,40,40,2,2,64,13
LRURP,Tagged,2,2,4,10,40,50,50,2,30,40,40,2,2,64,14
LRURP,Tagged,2,4,1,10,40,50,50,2,30,40,40,2,2,64,15
LRURP,Tagged,2,4,2,10,40,50,50,2,30,40,40,2,2,64,16
LRURP,Tagged,2,4,4,10,40,50,50,2,30,40,40,2,2,64,17
LRURP,Tagged,4,1,1,10,40,50,50,2,30,40,40,2,2,64,18
LRURP,Tagged,4,1,2,10,40,50,50,2,30,40,40,2,2,64,19
LRURP,Tagged,4,1,4,10,40,50,50,2,30,40,40,2,2,64,20
LRURP,Tagged,4,2,1,10,40,50,50,2,30,40,40,2,2,64,21
LRURP,Tagged,4,2,2,10,40,50,50,2,30,40,40,2,2,64,22
LRURP,Tagged,4,2,4,10,40,50,50,2,30,40,40,2,2,64,23
LRURP,Tagged,4,4,1,10,40,50,50,2,30,40,40,2,2,64,24
LRURP,Tagged,4,4,2,10,40,50,50,2,30,40,40,2,2,64,25
LRURP,Tagged,4,4,4,10,40,50,50,2,30,40,40,2,2,64,26
LRURP,Stride,1,1,1,10,40,50,50,2,30,40,40,2,2,64,27
LRURP,Stride,1,1,2,10,40,50,50,2,30,40,40,2,2,64,28
LRURP,Stride,1,1,4,10,40,50,50,2,30,40,40,2,2,64,29
LRURP,Stride,1,2,1,10,40,50,50,2,30,40,40,2,2,64,30
LRURP,Stride,1,2,2,10,40,50,50,2,30,40,40,2,2,64,31
LRURP,Stride,1,2,4,10,40,50,50,2,30,40,40,2,2,64,32
LRURP,Stride,1,4,1,10,40,50,50,2,30,40,40,2,2,64,33
LRURP,Stride,1,4,2,10,40,50,50,2,30,40,40,2,2,64,34
LRURP,Stride,1,4,4,10,40,50,50,2,30,40,40,2,2,64,35
LRURP,Stride,2,1,1,10,40,50,50,2,30,40,40,2,2,64,36
LRURP,Stride,2,1,2,10,40,50,50,2,30,40,40,2,2,64,37
LRURP,Stride,2,1,4,10,40,50,50,2,30,40,40,2,2,64,38
LRURP,Stride,2,2,1,10,40,50,50,2,30,40,40,2,2,64,39
LRURP,Stride,2,2,2,10,40,50,50,2,30,40,40,2,2,64,40
LRURP,Stride,2,2,4,10,40,50,50,2,30,40,40,2,2,64,41
LRURP,Stride,2,4,1,10,40,50,50,2,30,40,40,2,2,64,42
LRURP,Stride,2,4,2,10,40,50,50,2,30,40,40,2,2,64,43
LRURP,Stride,2,4,4,10,40,50,50,2,30,40,40,2,2,64,44
LRURP,Stride,4,1,1,10,40,50,50,2,30,40,40,2,2,64,45
LRURP,Stride,4,1,2,10,40,50,50,2,30,40,40,2,2,64,46
LRURP,Stride,4,1,4,10,40,50,50,2,30,40,40,2,2,64,47
LRURP,Stride,4,2,1,10,40,50,50,2,30,40,40,2,2,64,48
LRURP,Stride,4,2,2,10,40,50,50,2,30,40,40,2,2,64,49
LRURP,Stride,4,2,4,10,40,50,50,2,30,40,40,2,2,64,50
LRURP,Stride,4,4,1,10,40,50,50,2,30,40,40,2,2,64,51
LRURP,Stride,4,4,2,10,40,50,50,2,30,40,40,2,2,64,52
LRURP,Stride,4,4,4,10,40,50,50,2,30,40,40,2,2,64,53
LRURP,ISB,1,1,1,10,40,50,50,2,30,40,40,2,2,64,54
LRURP,ISB,1,1,2,10,40,50,50,2,30,40,40,2,2,64,55
LRURP,ISB,1,1,4,10,40,50,50,2,30,40,40,2,2,64,56
LRURP,ISB,1,2,1,10,40,50,50,2,30,40,40,2,2,64,57
LRURP,ISB,1,2,2,10,40,50,50,2,30,40,40,2,2,64,58
LRURP,ISB,1,2,4,10,40,50,50,2,30,40,40,2,2,64,59
LRURP,ISB,1,4,1,10,40,50,50,2,30,40,40,2,2,64,60
LRURP,ISB,1,4,2,10,40,50,50,2,30,40,40,2,2,64,61
LRURP,ISB,1,4,4,10,40,50,50,2,30,40,40,2,2,64,62
LRURP,ISB,2,1,1,10,40,50,50,2,30,40,40,2,2,64,63
LRURP,ISB,2,1,2,10,40,50,50,2,30,40,40,2,2,64,64
LRURP,ISB,2,1,4,10,40,50,50,2,30,40,40,2,2,64,65
LRURP,ISB,2,2,1,10,40,50,50,2,30,40,40,2,2,64,66
LRURP,ISB,2,2,2,10,40,50,50,2,30,40,40,2,2,64,67
LRURP,ISB,2,2,4,10,40,50,50,2,30,40,40,2,2,64,68
LRURP,ISB,2,4,1,10,40,50,50,2,30,40,40,2,2,64,69
LRURP,ISB,2,4,2,10,40,50,50,2,30,40,40,2,2,64,70
LRURP,ISB,2,4,4,10,40,50,50,2,30,40,40,2,2,64,71
LRURP,ISB,4,1,1,10,40,50,50,2,30,40,40,2,2,64,72
LRURP,ISB,4,1,2,10,40,50,50,2,30,40,40,2,2,64,73
LRURP,ISB,4,1,4,10,40,50,50,2,30,40,40,2,2,64,74
LRURP,ISB,4,2,1,10,40,50,50,2,30,40,40,2,2,64,75
LRURP,ISB,4,2,2,10,40,50,50,2,30,40,40,2,2,64,76
LRURP,ISB,4,2,4,10,40,50,50,2,30,40,40,2,2,64,77
LRURP,ISB,4,4,1,10,40,50,50,2,30,40,40,2,2,64,78
LRURP,ISB,4,4,2,10,40,50,50,2,30,40,40,2,2,64,79
LRURP,ISB,4,4,4,10,40,50,50,2,30,40,40,2,2,64,80
LFURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,2,2,64,81
LFURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,2,2,64,82
LFURP,Tagged,1,1,4,10,40,50,50,2,30,40,40,2,2,64,83
LFURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,2,2,64,84
LFURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,2,2,64,85
LFURP,Tagged,1,2,4,10,40,50,50,2,30,40,40,2,2,64,86
LFURP,Tagged,1,4,1,10,40,50,50,2,30,40,40,2,2,64,87
LFURP,Tagged,1,4,2,10,40,50,50,2,30,40,40,2,2,64,88
LFURP,Tagged,1,4,4,10,40,50,50,2,30,40,40,2,2,64,89
