replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,experiment_index
LRURP,Tagged,1,1,1,0
LRURP,Tagged,1,1,2,1
LRURP,Tagged,1,1,3,2
LRURP,Tagged,1,2,1,3
LRURP,Tagged,1,2,2,4
LRURP,Tagged,1,2,3,5
LRURP,Tagged,1,3,1,6
LRURP,Tagged,1,3,2,7
LRURP,Tagged,1,3,3,8
LRURP,Tagged,2,1,1,9
LRURP,Tagged,2,1,2,10
LRURP,Tagged,2,1,3,11
LRURP,Tagged,2,2,1,12
LRURP,Tagged,2,2,2,13
LRURP,Tagged,2,2,3,14
LRURP,Tagged,2,3,1,15
LRURP,Tagged,2,3,2,16
LRURP,Tagged,2,3,3,17
LRURP,Tagged,3,1,1,18
LRURP,Tagged,3,1,2,19
LRURP,Tagged,3,1,3,20
LRURP,Tagged,3,2,1,21
LRURP,Tagged,3,2,2,22
LRURP,Tagged,3,2,3,23
LRURP,Tagged,3,3,1,24
LRURP,Tagged,3,3,2,25
LRURP,Tagged,3,3,3,26
LRURP,Stride,1,1,1,27
LRURP,Stride,1,1,2,28
LRURP,Stride,1,1,3,29
LRURP,Stride,1,2,1,30
LRURP,Stride,1,2,2,31
LRURP,Stride,1,2,3,32
LRURP,Stride,1,3,1,33
LRURP,Stride,1,3,2,34
LRURP,Stride,1,3,3,35
LRURP,Stride,2,1,1,36
LRURP,Stride,2,1,2,37
LRURP,Stride,2,1,3,38
LRURP,Stride,2,2,1,39
LRURP,Stride,2,2,2,40
LRURP,Stride,2,2,3,41
LRURP,Stride,2,3,1,42
LRURP,Stride,2,3,2,43
LRURP,Stride,2,3,3,44
LRURP,Stride,3,1,1,45
LRURP,Stride,3,1,2,46
LRURP,Stride,3,1,3,47
LRURP,Stride,3,2,1,48
LRURP,Stride,3,2,2,49
LRURP,Stride,3,2,3,50
LRURP,Stride,3,3,1,51
LRURP,Stride,3,3,2,52
LRURP,Stride,3,3,3,53
LRURP,Signature,1,1,1,54
LRURP,Signature,1,1,2,55
LRURP,Signature,1,1,3,56
LRURP,Signature,1,2,1,57
LRURP,Signature,1,2,2,58
LRURP,Signature,1,2,3,59
LRURP,Signature,1,3,1,60
LRURP,Signature,1,3,2,61
LRURP,Signature,1,3,3,62
LRURP,Signature,2,1,1,63
LRURP,Signature,2,1,2,64
